Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,FarePerPerson,Survived
3,1,22.0,1,0,7.25,0,2,0,3.62,0
1,0,38.0,1,0,71.2833,1,2,0,35.64,1
3,0,26.0,0,0,7.925,0,1,1,7.92,1
1,0,35.0,1,0,53.1,0,2,0,26.55,1
3,1,35.0,0,0,8.05,0,1,1,8.05,0
3,1,28.0,0,0,8.4583,2,1,1,8.46,0
1,1,54.0,0,0,51.8625,0,1,1,51.86,0
3,1,2.0,3,1,21.075,0,5,0,4.22,0
3,0,27.0,0,2,11.1333,0,3,0,3.71,1
2,0,14.0,1,0,30.0708,1,2,0,15.04,1
3,0,4.0,1,1,16.7,0,3,0,5.57,1
1,0,58.0,0,0,26.55,0,1,1,26.55,1
3,1,20.0,0,0,8.05,0,1,1,8.05,0
3,1,39.0,1,5,31.275,0,7,0,4.47,0
3,0,14.0,0,0,7.8542,0,1,1,7.85,0
2,0,55.0,0,0,16.0,0,1,1,16.0,1
3,1,2.0,4,1,29.125,2,6,0,4.85,0
2,1,28.0,0,0,13.0,0,1,1,13.0,1
3,0,31.0,1,0,18.0,0,2,0,9.0,0
3,0,28.0,0,0,7.225,1,1,1,7.22,1
2,1,35.0,0,0,26.0,0,1,1,26.0,0
2,1,34.0,0,0,13.0,0,1,1,13.0,1
3,0,15.0,0,0,8.0292,2,1,1,8.03,1
1,1,28.0,0,0,35.5,0,1,1,35.5,1
3,0,8.0,3,1,21.075,0,5,0,4.22,0
3,0,38.0,1,5,31.3875,0,7,0,4.48,1
3,1,28.0,0,0,7.225,1,1,1,7.22,0
1,1,19.0,3,2,263.0,0,6,0,43.83,0
3,0,28.0,0,0,7.8792,2,1,1,7.88,1
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
1,1,40.0,0,0,27.7208,1,1,1,27.72,0
1,0,28.0,1,0,146.5208,1,2,0,73.26,1
3,0,28.0,0,0,7.75,2,1,1,7.75,1
2,1,66.0,0,0,10.5,0,1,1,10.5,0
1,1,28.0,1,0,82.1708,1,2,0,41.09,0
1,1,42.0,1,0,52.0,0,2,0,26.0,0
3,1,28.0,0,0,7.2292,1,1,1,7.23,1
3,1,21.0,0,0,8.05,0,1,1,8.05,0
3,0,18.0,2,0,18.0,0,3,0,6.0,0
3,0,14.0,1,0,11.2417,1,2,0,5.62,1
3,0,40.0,1,0,9.475,0,2,0,4.74,0
2,0,27.0,1,0,21.0,0,2,0,10.5,0
3,1,28.0,0,0,7.8958,1,1,1,7.9,0
2,0,3.0,1,2,41.5792,1,4,0,10.39,1
3,0,19.0,0,0,7.8792,2,1,1,7.88,1
3,1,28.0,0,0,8.05,0,1,1,8.05,0
3,1,28.0,1,0,15.5,2,2,0,7.75,0
3,0,28.0,0,0,7.75,2,1,1,7.75,1
3,1,28.0,2,0,21.6792,1,3,0,7.23,0
3,0,18.0,1,0,17.8,0,2,0,8.9,0
3,1,7.0,4,1,39.6875,0,6,0,6.61,0
3,1,21.0,0,0,7.8,0,1,1,7.8,0
1,0,49.0,1,0,76.7292,1,2,0,38.36,1
2,0,29.0,1,0,26.0,0,2,0,13.0,1
1,1,65.0,0,1,61.9792,1,2,0,30.99,0
1,1,28.0,0,0,35.5,0,1,1,35.5,1
2,0,21.0,0,0,10.5,0,1,1,10.5,1
3,1,28.5,0,0,7.2292,1,1,1,7.23,0
2,0,5.0,1,2,27.75,0,4,0,6.94,1
3,1,11.0,5,2,46.9,0,8,0,5.86,0
3,1,22.0,0,0,7.2292,1,1,1,7.23,0
1,0,38.0,0,0,80.0,0,1,1,80.0,1
1,1,45.0,1,0,83.475,0,2,0,41.74,0
3,1,4.0,3,2,27.9,0,6,0,4.65,0
1,1,28.0,0,0,27.7208,1,1,1,27.72,0
3,1,28.0,1,1,15.2458,1,3,0,5.08,1
2,0,29.0,0,0,10.5,0,1,1,10.5,1
3,1,19.0,0,0,8.1583,0,1,1,8.16,0
3,0,17.0,4,2,7.925,0,7,0,1.13,1
3,1,26.0,2,0,8.6625,0,3,0,2.89,0
2,1,32.0,0,0,10.5,0,1,1,10.5,0
3,0,16.0,5,2,46.9,0,8,0,5.86,0
2,1,21.0,0,0,73.5,0,1,1,73.5,0
3,1,26.0,1,0,14.4542,1,2,0,7.23,0
3,1,32.0,0,0,56.4958,0,1,1,56.5,1
3,1,25.0,0,0,7.65,0,1,1,7.65,0
3,1,28.0,0,0,7.8958,0,1,1,7.9,0
3,1,28.0,0,0,8.05,0,1,1,8.05,0
2,1,0.83,0,2,29.0,0,3,0,9.67,1
3,0,30.0,0,0,12.475,0,1,1,12.48,1
3,1,22.0,0,0,9.0,0,1,1,9.0,0
3,1,29.0,0,0,9.5,0,1,1,9.5,1
3,0,28.0,0,0,7.7875,2,1,1,7.79,1
1,1,28.0,0,0,47.1,0,1,1,47.1,0
2,0,17.0,0,0,10.5,0,1,1,10.5,1
3,0,33.0,3,0,15.85,0,4,0,3.96,1
3,1,16.0,1,3,34.375,0,5,0,6.88,0
3,1,28.0,0,0,8.05,0,1,1,8.05,0
1,0,23.0,3,2,263.0,0,6,0,43.83,1
3,1,24.0,0,0,8.05,0,1,1,8.05,0
3,1,29.0,0,0,8.05,0,1,1,8.05,0
3,1,20.0,0,0,7.8542,0,1,1,7.85,0
1,1,46.0,1,0,61.175,0,2,0,30.59,0
